Date,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Max_Dew_Point_F,MeanDew_Point_F,Min_Dewpoint_F,Max_Humidity,Mean_Humidity ,Min_Humidity ,Max_Sea_Level_Pressure_In ,Mean_Sea_Level_Pressure_In ,Min_Sea_Level_Pressure_In ,Max_Visibility_Miles ,Mean_Visibility_Miles ,Min_Visibility_Miles ,Max_Wind_Speed_MPH ,Mean_Wind_Speed_MPH ,Max_Gust_Speed_MPH,Precipitation_In ,Cloud_Cover ,Events,Wind_Dir_Degrees,zip
9/14/2013,66,62,57,57,55,54,94,82,68,29.86,29.82,29.78,10,10,10,14,9,20.0,0,5,,266,94063
9/15/2013,77,68,59,59,56,54,83,77,47,29.89,29.83,28.98,10,10,10,15,6,20.0,0,5,,283,94063
9/16/2013,77,68,59,61,57,54,94,80,47,29.91,29.88,29.83,10,10,10,17,4,23.0,0,3,,283,94063
9/17/2013,69,64,60,55,53,50,82,70,49,29.9,29.88,29.87,10,10,10,25,9,32.0,0,3,,281,94063
9/18/2013,82,68,55,55,49,41,77,63,23,29.98,29.88,29.84,10,10,10,12,3,,0,0,,264,94063
9/19/2013,86,70,53,57,48,45,82,60,23,29.87,29.83,29.75,10,10,10,12,2,,0,0,,324,94063
9/20/2013,75,67,59,59,54,46,88,71,53,29.89,29.83,29.8,10,10,10,14,4,22.0,0,5,,240,94063
9/21/2013,66,62,59,59,57,55,88,81,68,29.92,29.86,29.83,10,9,2,12,6,,0,4,Rain,216,94063
9/22/2013,71,63,55,55,53,48,94,78,43,30.02,29.97,29.91,10,10,10,15,5,23.0,0,1,,296,94063
9/23/2013,80,68,55,57,53,50,82,68,39,30.04,29.99,29.95,10,10,10,14,4,20.0,0,0,,288,94063
9/24/2013,71,65,59,55,52,46,82,66,43,30.02,29.97,29.94,10,10,10,23,7,31.0,0,1,,292,94063
9/25/2013,66,60,55,61,48,41,88,67,42,29.96,29.92,29.86,10,10,10,20,12,29.0,0,0,,294,94063
9/26/2013,73,64,55,46,41,32,72,53,22,29.99,29.91,29.86,10,10,10,14,5,17.0,0,0,,287,94063
9/27/2013,77,64,51,48,40,28,77,50,17,30.11,30.05,30.0,10,10,10,12,1,,0,1,,279,94063
9/28/2013,80,66,53,64,45,36,82,58,20,30.11,30.07,30.01,10,10,10,16,3,,0,0,,297,94063
9/29/2013,75,65,55,59,55,50,88,76,50,30.13,30.1,30.06,10,10,10,12,3,16.0,0,1,,295,94063
9/30/2013,73,66,60,61,55,41,88,73,45,30.09,30.05,29.98,10,10,9,14,4,17.0,0,4,,2772,94063
10/1/2013,71,64,57,50,47,41,77,62,41,30.04,29.99,29.94,10,10,8,13,7,,0,3,,287,94063
10/2/2013,71,63,55,55,45,39,77,62,37,30.03,29.98,29.94,10,10,10,20,4,22.0,0,1,,298,94063
10/3/2013,71,63,55,41,38,32,58,45,25,30.09,30.03,29.96,10,10,10,15,8,16.0,0,0,,302,94063
10/4/2013,77,68,59,48,38,32,51,38,21,30.1,30.04,29.99,10,10,10,16,6,,0,0,,22,94063
10/5/2013,82,68,55,46,33,25,51,33,12,30.21,30.14,30.11,10,10,10,7,1,,0,0,,236,94063
10/6/2013,82,68,53,55,37,23,68,41,11,30.13,30.07,30.01,10,10,10,12,1,,0,2,,335,94063
10/7/2013,82,68,55,52,39,32,63,43,16,30.01,29.96,29.89,10,10,10,12,2,,0,1,,292,94063
10/8/2013,73,62,51,54,46,39,82,65,35,29.92,29.85,29.75,10,10,8,15,2,,0,2,,279,94063
10/9/2013,68,59,50,50,44,37,87,66,37,29.78,29.7,29.65,10,10,7,10,2,,0,3,,253,94063
10/10/2013,68,59,50,50,45,41,77,66,49,30.03,29.89,29.77,10,10,10,14,2,,0,1,,287,94063
10/11/2013,64,58,51,52,47,45,88,77,56,30.1,30.04,30.0,10,9,6,10,2,,0,4,,316,94063
10/12/2013,66,56,46,54,47,45,94,79,46,30.03,29.99,29.93,10,9,2,13,3,21.0,0,2,,275,94063
10/13/2013,73,62,50,52,46,37,87,68,29,30.08,30.0,29.95,10,10,10,12,3,,0,0,,328,94063
10/14/2013,77,64,50,46,40,32,82,53,19,30.13,30.07,30.0,10,10,10,9,1,,0,0,,290,94063
10/15/2013,78,64,50,45,37,30,76,44,17,30.06,30.02,29.95,10,10,10,10,1,,0,0,,279,94063
10/16/2013,80,66,53,54,38,32,72,45,17,30.1,30.05,30.0,10,10,10,9,1,,0,0,,318,94063
10/17/2013,78,66,53,54,40,27,72,49,15,30.09,30.04,29.97,10,10,10,9,1,,0,0,,346,94063
10/18/2013,71,60,50,55,46,37,82,67,46,30.07,30.03,29.99,10,10,8,8,1,,0,0,,1,94063
10/19/2013,77,64,50,57,48,45,87,72,32,30.09,30.04,30.0,10,10,8,8,1,,0,0,,343,94063
10/20/2013,68,58,48,54,48,45,94,81,52,30.05,30.0,29.93,10,9,2,9,3,,0,1,,325,94063
10/21/2013,62,55,48,52,48,45,94,83,63,30.03,29.98,29.93,10,9,6,8,1,,0,3,,1,94063
10/22/2013,66,57,48,55,49,45,100,86,59,30.04,30.0,29.94,10,8,2,10,2,,0,3,,341,94063
10/23/2013,62,56,50,54,48,32,100,86,47,30.0,29.97,29.92,10,7,2,9,2,,0,5,,330,94063
10/24/2013,59,54,50,50,48,46,88,82,67,30.13,30.05,30.0,10,10,7,12,5,16.0,0,5,,299,94063
10/25/2013,66,57,48,54,48,45,93,80,56,30.18,30.14,30.09,10,10,5,9,1,,0,4,,355,94063
10/26/2013,71,60,48,55,48,46,94,80,41,30.16,30.11,30.02,10,10,6,7,1,,0,0,,331,94063
10/27/2013,59,52,46,50,47,43,94,81,67,30.05,29.93,29.72,10,10,9,26,4,40.0,0,3,,265,94063
