Date,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Max_Dew_Point_F,MeanDew_Point_F,Min_Dewpoint_F,Max_Humidity,Mean_Humidity ,Min_Humidity ,Max_Sea_Level_Pressure_In ,Mean_Sea_Level_Pressure_In ,Min_Sea_Level_Pressure_In ,Max_Visibility_Miles ,Mean_Visibility_Miles ,Min_Visibility_Miles ,Max_Wind_Speed_MPH ,Mean_Wind_Speed_MPH ,Max_Gust_Speed_MPH,Precipitation_In ,Cloud_Cover ,Events,Wind_Dir_Degrees,zip
1/26/2014,66,57,48,48,43,33,83,65,46,30.14,30.09,30.03,10,10,9,21,6,24.0,0,3,,317,94107
1/27/2014,59,54,48,48,46,43,83,73,62,30.21,30.15,30.08,10,10,7,18,6,20.0,0,6,,301,94107
1/28/2014,65,59,53,57,53,47,90,81,72,30.27,30.22,30.2,10,10,2,17,5,21.0,0,7,,290,94107
1/29/2014,63,59,54,57,54,50,93,89,84,30.2,30.11,30.0,10,10,7,20,8,22.0,T,8,Rain,282,94107
1/30/2014,58,55,52,51,48,46,93,80,67,29.98,29.91,29.88,10,10,9,30,14,38.0,T,6,Rain,267,94107
1/31/2014,60,54,47,46,42,36,86,63,39,30.09,30.04,29.92,10,10,9,32,12,38.0,0,1,,285,94107
2/1/2014,59,51,42,43,39,36,82,63,43,30.17,30.12,30.08,10,10,10,20,6,23.0,0,1,,270,94107
2/2/2014,58,53,47,44,42,36,86,74,61,30.04,29.92,29.85,10,8,4,29,12,33.0,0.85,7,Rain,111,94107
2/3/2014,56,51,46,43,41,39,82,69,55,30.09,30.04,29.99,10,10,10,25,11,32.0,0,3,,306,94107
2/4/2014,55,50,44,44,40,36,83,67,50,30.17,30.12,30.09,10,10,10,21,7,23.0,0,4,,288,94107
2/5/2014,55,49,43,46,42,38,86,73,59,30.21,30.15,30.06,10,10,10,17,7,24.0,0.09,6,Rain,255,94107
2/6/2014,52,50,48,52,48,42,100,90,80,30.05,29.96,29.91,10,8,2,20,7,23.0,0.64,8,Rain,100,94107
2/7/2014,56,54,51,54,51,49,100,92,83,30.08,30.04,30.0,10,9,3,31,11,40.0,0.23,8,Rain,152,94107
2/8/2014,59,56,53,58,55,49,100,92,83,30.15,30.1,30.06,10,5,2,28,13,37.0,0.42,8,Rain,164,94107
2/9/2014,59,57,55,58,56,52,100,92,83,30.16,30.12,30.06,10,6,2,21,9,26.0,0.35,8,Rain,174,94107
2/10/2014,57,54,51,54,52,50,100,93,86,30.29,30.23,30.14,10,9,2,17,10,20.0,T,7,Rain,274,94107
2/11/2014,56,53,49,51,49,48,100,92,83,30.26,30.22,30.18,10,10,7,22,9,26.0,0,6,,287,94107
2/12/2014,56,51,46,51,48,45,100,92,83,30.29,30.24,30.2,10,7,0,18,6,22.0,0,6,Fog,278,94107
2/13/2014,67,59,50,57,53,50,100,87,73,30.23,30.17,30.11,10,6,0,15,8,20.0,0,6,Fog,288,94107
2/14/2014,66,61,56,55,54,50,100,80,60,30.18,30.13,30.06,10,8,2,14,5,16.0,0,7,,293,94107
2/15/2014,62,57,52,55,52,49,93,83,72,30.05,30.02,30.0,10,10,7,17,5,21.0,T,7,Rain,174,94107
2/16/2014,63,57,50,54,47,40,93,68,43,30.21,30.14,30.06,10,10,6,20,8,23.0,0.01,3,,292,94107
2/17/2014,61,54,46,49,45,42,86,69,51,30.19,30.16,30.11,10,10,10,21,10,25.0,0,3,,280,94107
2/18/2014,62,55,48,53,49,45,93,80,67,30.2,30.15,30.12,10,10,5,22,8,25.0,0,5,,272,94107
2/19/2014,62,57,51,54,48,43,93,72,51,30.22,30.16,30.12,10,10,10,23,14,26.0,0.01,4,,276,94107
2/20/2014,67,56,45,47,44,41,86,65,43,30.22,30.17,30.12,10,10,9,18,6,22.0,0,4,,277,94107
2/21/2014,69,58,47,51,46,40,86,61,35,30.12,30.06,30.0,10,10,10,22,7,26.0,0,1,,282,94107
2/22/2014,66,56,46,52,48,43,93,78,63,30.03,29.99,29.94,10,10,10,23,9,28.0,0,2,,286,94107
2/23/2014,63,55,46,52,47,44,93,81,69,30.04,30.0,29.96,10,9,6,23,8,26.0,0,3,,268,94107
2/24/2014,71,58,45,53,47,41,89,65,40,30.01,29.96,29.91,10,10,10,17,6,21.0,0,1,,302,94107
2/25/2014,62,55,48,53,48,45,89,78,67,29.99,29.95,29.92,10,9,7,20,6,23.0,0,6,,215,94107
2/26/2014,60,57,54,56,52,47,93,80,67,29.96,29.84,29.69,10,9,4,31,15,39.0,0.43,8,Rain,147,94107
2/27/2014,62,58,55,52,51,51,89,81,67,29.91,29.85,29.78,10,10,8,17,15,35.0,0.22,8,Rain,205,94107
2/28/2014,63,59,55,54,50,43,86,65,43,29.5,29.43,29.39,10,8,1,26,13,33.0,0.74,8,rain,208,94107
8/29/2013,80,71,62,63,59,57,94,79,48,30.07,30.02,29.97,10,10,10,14,6,17.0,0,5,,313,94063
8/30/2013,86,74,62,64,59,54,94,73,35,30.08,30.01,29.93,10,10,10,15,2,17.0,0,2,,292,94063
8/31/2013,77,68,59,59,56,55,88,72,50,30.0,29.96,29.92,10,10,10,13,4,,0,1,,324,94063
9/1/2013,80,71,62,61,57,55,82,72,42,29.97,29.94,29.89,10,10,10,13,5,17.0,0,3,,294,94063
9/2/2013,77,70,64,64,61,57,88,79,57,29.98,29.94,29.9,10,10,10,13,6,17.0,0,4,,291,94063
9/3/2013,77,68,59,59,55,48,83,71,36,30.02,29.98,29.96,10,10,10,16,5,20.0,0,0,,284,94063
9/4/2013,75,68,60,57,56,50,82,73,41,30.05,30.01,29.98,10,10,10,17,6,23.0,0,1,,277,94063
9/5/2013,75,68,62,57,55,50,82,70,41,30.03,30.0,29.98,10,10,10,21,8,25.0,0,3,,279,94063
9/6/2013,89,73,57,59,51,45,88,60,24,30.01,29.94,29.83,10,10,10,10,1,,0,0,,295,94063
9/7/2013,91,78,64,61,52,46,77,55,23,29.89,29.85,29.8,10,10,10,12,3,,0,0,,327,94063
9/8/2013,78,68,59,61,57,54,88,77,44,29.89,29.85,29.76,10,10,10,8,3,,0,0,,350,94063
9/9/2013,87,73,59,63,57,48,88,77,25,29.83,29.78,29.72,10,10,10,12,3,,0,0,,336,94063
9/10/2013,77,70,62,63,57,55,88,76,50,29.91,29.81,29.76,10,10,10,16,3,17.0,0,3,,298,94063
9/11/2013,75,67,59,59,56,54,82,74,53,30.0,29.95,29.91,10,10,10,18,4,23.0,0,2,,267,94063
9/12/2013,75,68,60,61,57,55,88,78,57,30.0,29.96,29.9,10,10,10,20,3,18.0,0,5,,297,94063
9/13/2013,75,67,59,59,55,52,88,77,50,29.93,29.88,29.8,10,10,10,15,6,,0,4,,294,94063
